episode, reward, reward_tard, reward_setup 
1,-56.74,-85.87,-27.60
2,-55.68,-77.56,-33.80
3,-61.74,-84.68,-38.80
4,-59.63,-81.25,-38.00
5,-49.08,-64.16,-34.00
6,-59.31,-77.63,-41.00
7,-67.81,-95.82,-39.80
8,-56.57,-76.54,-36.60
9,-60.13,-81.65,-38.60
10,-66.46,-95.12,-37.80
11,-56.15,-70.70,-41.60
12,-70.78,-98.36,-43.20
13,-60.94,-86.48,-35.40
14,-65.34,-92.88,-37.80
15,-59.94,-79.29,-40.60
16,-57.91,-79.42,-36.40
17,-71.04,-99.28,-42.80
18,-62.77,-88.33,-37.20
19,-65.75,-88.90,-42.60
20,-67.82,-92.03,-43.60
21,-58.56,-74.72,-42.40
22,-66.74,-93.29,-40.20
23,-61.79,-87.19,-36.40
24,-63.79,-98.37,-29.20
25,-64.41,-86.42,-42.40
26,-65.39,-92.39,-38.40
27,-58.79,-80.18,-37.40
28,-66.41,-93.42,-39.40
29,-68.13,-93.47,-42.80
30,-66.22,-93.63,-38.80
31,-60.50,-82.21,-38.80
32,-66.57,-96.34,-36.80
33,-56.32,-75.45,-37.20
34,-60.86,-82.53,-39.20
35,-58.27,-77.34,-39.20
36,-59.67,-83.33,-36.00
37,-54.93,-76.05,-33.80
38,-60.29,-92.17,-28.40
39,-49.41,-72.22,-26.60
40,-55.16,-84.52,-25.80
41,-56.63,-81.47,-31.80
42,-59.26,-96.52,-22.00
43,-58.45,-92.10,-24.80
44,-65.70,-92.01,-39.40
45,-50.21,-67.82,-32.60
46,-55.28,-82.55,-28.00
47,-61.37,-94.33,-28.40
48,-58.86,-92.12,-25.60
49,-52.36,-77.92,-26.80
50,-61.92,-97.44,-26.40
51,-48.72,-70.63,-26.80
52,-65.11,-97.61,-32.60
53,-44.05,-59.91,-28.20
54,-61.36,-89.92,-32.80
55,-60.85,-91.70,-30.00
56,-52.38,-81.56,-23.20
57,-57.72,-89.43,-26.00
58,-60.26,-90.52,-30.00
59,-59.32,-94.65,-24.00
60,-53.21,-75.22,-31.20
61,-54.04,-84.47,-23.60
62,-65.47,-96.15,-34.80
63,-50.54,-70.28,-30.80
64,-51.36,-76.33,-26.40
65,-58.58,-88.76,-28.40
66,-62.18,-96.96,-27.40
67,-60.60,-91.79,-29.40
68,-57.46,-90.53,-24.40
69,-55.53,-83.05,-28.00
70,-59.94,-85.27,-34.60
71,-52.37,-75.34,-29.40
72,-55.12,-91.64,-18.60
73,-47.86,-69.31,-26.40
74,-61.07,-91.75,-30.40
75,-50.19,-75.99,-24.40
76,-55.72,-80.45,-31.00
77,-62.17,-96.15,-28.20
78,-65.49,-98.59,-32.40
79,-50.39,-72.57,-28.20
80,-57.75,-88.51,-27.00
81,-54.37,-86.94,-21.80
82,-60.46,-88.33,-32.60
83,-44.68,-58.75,-30.60
84,-49.65,-71.50,-27.80
85,-62.11,-97.02,-27.20
86,-54.56,-89.72,-19.40
87,-63.58,-99.37,-27.80
88,-54.25,-77.71,-30.80
89,-52.29,-75.38,-29.20
90,-56.23,-85.86,-26.60
91,-55.66,-85.32,-26.00
92,-65.06,-92.91,-37.20
93,-59.64,-87.67,-31.60
94,-47.45,-61.70,-33.20
95,-59.74,-89.88,-29.60
96,-57.79,-79.57,-36.00
97,-55.64,-79.87,-31.40
98,-48.89,-68.38,-29.40
99,-55.27,-87.35,-23.20
100,-63.55,-95.71,-31.40
101,-54.96,-77.53,-32.40
102,-60.61,-94.82,-26.40
103,-50.80,-67.79,-33.80
104,-52.58,-79.17,-26.00
105,-63.18,-96.95,-29.40
106,-56.70,-83.60,-29.80
107,-57.19,-88.18,-26.20
108,-62.64,-94.89,-30.40
109,-60.51,-89.62,-31.40
110,-56.64,-76.08,-37.20
111,-66.66,-95.12,-38.20
112,-66.61,-97.21,-36.00
113,-68.98,-95.36,-42.60
114,-62.89,-87.39,-38.40
115,-60.11,-80.41,-39.80
116,-60.10,-84.21,-36.00
117,-60.30,-83.60,-37.00
118,-52.04,-65.28,-38.80
119,-68.91,-96.43,-41.40
120,-55.78,-78.75,-32.80
121,-58.43,-79.46,-37.40
122,-64.65,-90.71,-38.60
123,-53.82,-75.64,-32.00
124,-66.39,-93.78,-39.00
125,-54.14,-68.88,-39.40
126,-66.64,-98.88,-34.40
127,-68.12,-92.85,-43.40
128,-58.60,-75.39,-41.80
129,-62.83,-90.86,-34.80
130,-61.55,-92.11,-31.00
131,-66.64,-95.48,-37.80
132,-59.81,-85.03,-34.60
133,-63.56,-94.32,-32.80
134,-56.34,-84.48,-28.20
135,-59.85,-85.69,-34.00
136,-65.35,-99.10,-31.60
137,-65.58,-97.16,-34.00
138,-60.17,-81.54,-38.80
139,-51.35,-68.89,-33.80
140,-60.21,-78.82,-41.60
141,-66.52,-92.83,-40.20
142,-66.00,-95.00,-37.00
143,-66.46,-91.73,-41.20
144,-69.19,-98.17,-40.20
145,-53.90,-69.79,-38.00
146,-52.88,-72.35,-33.40
147,-64.11,-87.43,-40.80
148,-48.63,-60.86,-36.40
149,-61.18,-88.37,-34.00
150,-64.66,-89.12,-40.20
151,-66.96,-90.73,-43.20
152,-63.95,-84.90,-43.00
153,-64.14,-93.87,-34.40
154,-69.13,-95.25,-43.00
155,-50.94,-67.68,-34.20
156,-57.78,-75.96,-39.60
157,-59.88,-80.15,-39.60
158,-64.57,-91.55,-37.60
159,-65.06,-87.52,-42.60
160,-67.14,-95.69,-38.60
161,-57.89,-78.98,-36.80
162,-65.77,-96.54,-35.00
163,-62.22,-84.43,-40.00
164,-71.14,-97.89,-44.40
165,-65.00,-90.79,-39.20
166,-64.00,-86.61,-41.40
167,-62.40,-86.79,-38.00
168,-62.68,-89.77,-35.60
169,-69.74,-96.28,-43.20
170,-68.50,-98.60,-38.40
171,-66.67,-93.74,-39.60
172,-67.74,-94.68,-40.80
173,-65.77,-95.35,-36.20
174,-59.70,-80.21,-39.20
175,-68.53,-96.66,-40.40
176,-59.97,-83.13,-36.80
177,-53.50,-75.61,-31.40
178,-46.38,-61.75,-31.00
179,-66.78,-97.55,-36.00
180,-66.47,-97.73,-35.20
181,-63.11,-84.62,-41.60
182,-66.68,-95.96,-37.40
183,-53.56,-63.92,-43.20
184,-61.70,-82.81,-40.60
185,-61.52,-83.63,-39.40
186,-54.96,-73.32,-36.60
187,-65.42,-89.84,-41.00
188,-59.91,-80.61,-39.20
189,-64.07,-87.94,-40.20
190,-63.29,-80.98,-45.60
191,-63.42,-94.44,-32.40
192,-69.87,-97.13,-42.60
193,-61.28,-82.76,-39.80
194,-63.06,-89.33,-36.80
195,-66.83,-94.07,-39.60
196,-64.20,-88.40,-40.00
197,-64.54,-86.67,-42.40
198,-64.74,-87.88,-41.60
199,-62.44,-87.67,-37.20
200,-70.68,-96.97,-44.40
201,-65.61,-91.22,-40.00
202,-69.62,-94.45,-44.80
203,-63.13,-87.05,-39.20
204,-63.57,-84.35,-42.80
205,-64.97,-89.94,-40.00
206,-54.45,-71.90,-37.00
207,-61.82,-86.45,-37.20
208,-62.06,-82.71,-41.40
209,-66.66,-90.53,-42.80
210,-59.54,-79.89,-39.20
211,-56.69,-79.98,-33.40
212,-55.53,-70.26,-40.80
213,-54.93,-74.26,-35.60
214,-53.89,-71.78,-36.00
215,-60.40,-85.20,-35.60
216,-61.34,-88.08,-34.60
217,-61.51,-83.42,-39.60
218,-68.73,-91.47,-46.00
219,-63.26,-90.31,-36.20
220,-66.23,-94.06,-38.40
221,-55.15,-76.90,-33.40
222,-71.59,-98.78,-44.40
223,-65.59,-90.39,-40.80
224,-59.77,-80.73,-38.80
225,-67.55,-95.50,-39.60
226,-66.85,-93.31,-40.40
227,-61.34,-84.47,-38.20
228,-59.36,-76.72,-42.00
229,-62.87,-93.14,-32.60
230,-60.49,-78.38,-42.60
231,-62.51,-85.23,-39.80
232,-66.63,-87.25,-46.00
233,-65.74,-86.09,-45.40
234,-55.70,-74.40,-37.00
235,-58.78,-81.35,-36.20
236,-64.89,-90.37,-39.40
237,-64.69,-95.79,-33.60
238,-68.35,-95.10,-41.60
239,-56.49,-77.17,-35.80
240,-66.81,-98.83,-34.80
241,-61.38,-85.96,-36.80
242,-49.34,-59.68,-39.00
243,-56.84,-73.47,-40.20
244,-66.14,-91.48,-40.80
245,-60.46,-81.12,-39.80
246,-60.20,-77.61,-42.80
247,-63.34,-87.89,-38.80
248,-63.73,-89.46,-38.00
249,-55.17,-71.53,-38.80
250,-64.02,-93.85,-34.20
251,-67.34,-95.69,-39.00
252,-58.34,-78.87,-37.80
253,-63.97,-86.73,-41.20
254,-60.29,-89.59,-31.00
255,-58.05,-81.11,-35.00
256,-65.58,-94.56,-36.60
257,-68.68,-93.16,-44.20
258,-65.45,-94.10,-36.80
259,-63.36,-87.92,-38.80
260,-66.44,-95.09,-37.80
261,-57.37,-78.74,-36.00
262,-56.02,-78.04,-34.00
263,-69.55,-94.51,-44.60
264,-62.55,-80.50,-44.60
265,-61.51,-84.81,-38.20
266,-61.14,-84.48,-37.80
267,-64.88,-87.16,-42.60
268,-67.31,-97.82,-36.80
269,-66.53,-95.26,-37.80
270,-66.31,-97.43,-35.20
271,-54.76,-71.72,-37.80
272,-58.64,-79.49,-37.80
273,-53.19,-69.77,-36.60
274,-58.03,-82.46,-33.60
275,-68.62,-93.65,-43.60
276,-54.81,-71.82,-37.80
277,-63.29,-85.58,-41.00
278,-57.95,-82.30,-33.60
279,-55.39,-68.99,-41.80
280,-63.51,-85.82,-41.20
281,-56.42,-75.24,-37.60
282,-66.63,-92.45,-40.80
283,-58.87,-81.54,-36.20
284,-64.20,-87.59,-40.80
285,-65.54,-95.29,-35.80
286,-59.68,-82.15,-37.20
287,-66.65,-95.30,-38.00
288,-56.57,-73.55,-39.60
289,-65.16,-93.72,-36.60
290,-58.02,-76.05,-40.00
291,-67.36,-97.71,-37.00
292,-66.55,-91.09,-42.00
293,-64.57,-92.35,-36.80
294,-64.39,-87.98,-40.80
295,-59.33,-83.26,-35.40
296,-69.96,-98.52,-41.40
297,-65.28,-92.95,-37.60
298,-54.65,-71.31,-38.00
299,-55.33,-75.66,-35.00
300,-61.54,-87.48,-35.60
301,-64.49,-93.58,-35.40
302,-62.09,-84.19,-40.00
303,-65.48,-93.96,-37.00
304,-62.62,-89.23,-36.00
305,-58.28,-81.76,-34.80
306,-56.91,-74.81,-39.00
307,-58.56,-76.12,-41.00
308,-60.93,-85.66,-36.20
309,-56.47,-73.53,-39.40
310,-56.63,-69.67,-43.60
311,-59.01,-76.83,-41.20
312,-64.24,-92.08,-36.40
313,-65.29,-94.78,-35.80
314,-62.01,-87.02,-37.00
315,-68.78,-93.57,-44.00
316,-58.97,-80.93,-37.00
317,-67.34,-90.08,-44.60
318,-66.63,-94.45,-38.80
319,-54.70,-71.59,-37.80
320,-64.09,-87.17,-41.00
321,-69.30,-97.80,-40.80
322,-65.59,-91.37,-39.80
323,-52.87,-66.93,-38.80
324,-69.01,-98.22,-39.80
325,-53.16,-72.92,-33.40
326,-57.24,-71.49,-43.00
327,-66.09,-94.19,-38.00
328,-67.61,-93.22,-42.00
329,-52.06,-69.32,-34.80
330,-62.03,-86.85,-37.20
331,-63.66,-86.93,-40.40
332,-58.45,-84.71,-32.20
333,-51.90,-69.00,-34.80
334,-64.91,-92.81,-37.00
335,-68.55,-94.30,-42.80
336,-68.89,-96.99,-40.80
337,-63.48,-88.77,-38.20
338,-68.43,-97.06,-39.80
339,-63.23,-90.66,-35.80
340,-53.30,-72.39,-34.20
341,-66.37,-88.73,-44.00
342,-58.72,-86.23,-31.20
343,-64.47,-86.54,-42.40
344,-66.09,-97.17,-35.00
345,-71.94,-98.88,-45.00
346,-59.52,-80.24,-38.80
347,-55.32,-73.44,-37.20
348,-67.48,-98.16,-36.80
349,-63.46,-89.71,-37.20
350,-62.02,-89.24,-34.80
351,-68.28,-97.75,-38.80
352,-62.46,-91.72,-33.20
353,-54.11,-70.62,-37.60
354,-50.84,-61.48,-40.20
355,-60.50,-82.20,-38.80
356,-60.41,-83.63,-37.20
357,-62.77,-88.14,-37.40
358,-57.84,-74.69,-41.00
359,-62.20,-86.59,-37.80
360,-65.82,-98.44,-33.20
361,-50.40,-66.99,-33.80
362,-56.38,-79.57,-33.20
363,-68.03,-96.07,-40.00
364,-49.79,-61.99,-37.60
365,-59.91,-81.63,-38.20
366,-66.00,-92.40,-39.60
367,-63.30,-86.41,-40.20
368,-57.06,-80.32,-33.80
369,-69.09,-97.58,-40.60
370,-66.83,-98.46,-35.20
371,-70.36,-98.52,-42.20
372,-60.80,-81.61,-40.00
373,-64.96,-93.72,-36.20
374,-67.84,-97.29,-38.40
375,-60.96,-84.92,-37.00
376,-67.22,-96.23,-38.20
377,-67.72,-97.04,-38.40
378,-61.25,-77.31,-45.20
379,-61.99,-84.59,-39.40
380,-67.61,-95.81,-39.40
381,-69.90,-97.39,-42.40
382,-61.25,-81.50,-41.00
383,-59.37,-80.14,-38.60
384,-59.68,-82.76,-36.60
385,-59.34,-77.47,-41.20
386,-65.64,-94.09,-37.20
387,-64.14,-94.09,-34.20
388,-57.32,-78.44,-36.20
389,-71.77,-98.55,-45.00
390,-65.18,-90.77,-39.60
391,-58.19,-82.18,-34.20
392,-57.32,-75.63,-39.00
393,-56.13,-75.66,-36.60
394,-59.94,-79.09,-40.80
395,-53.81,-73.23,-34.40
396,-58.99,-82.18,-35.80
397,-69.11,-95.02,-43.20
398,-66.71,-96.02,-37.40
399,-57.34,-73.67,-41.00
400,-58.42,-79.04,-37.80
401,-66.61,-96.83,-36.40
402,-60.98,-85.16,-36.80
403,-60.32,-76.85,-43.80
404,-60.90,-82.81,-39.00
405,-60.55,-80.31,-40.80
406,-67.70,-94.00,-41.40
407,-61.03,-83.47,-38.60
408,-67.42,-96.64,-38.20
409,-66.43,-93.46,-39.40
410,-70.64,-98.68,-42.60
411,-59.24,-78.48,-40.00
412,-62.64,-84.29,-41.00
413,-48.44,-60.89,-36.00
414,-63.92,-96.04,-31.80
415,-65.90,-96.79,-35.00
416,-59.72,-85.44,-34.00
417,-64.84,-88.89,-40.80
418,-59.15,-82.91,-35.40
419,-67.64,-94.08,-41.20
420,-52.37,-66.75,-38.00
421,-55.95,-74.70,-37.20
422,-65.91,-93.23,-38.60
423,-60.98,-79.57,-42.40
424,-63.70,-88.19,-39.20
425,-60.52,-87.63,-33.40
426,-45.18,-54.76,-35.60
427,-65.74,-92.88,-38.60
428,-68.04,-90.69,-45.40
429,-69.27,-95.53,-43.00
430,-65.05,-96.91,-33.20
431,-60.09,-82.59,-37.60
432,-66.65,-92.91,-40.40
433,-67.05,-91.29,-42.80
434,-61.68,-85.56,-37.80
435,-55.90,-71.41,-40.40
436,-61.48,-86.96,-36.00
437,-65.75,-89.51,-42.00
438,-65.53,-87.85,-43.20
439,-61.96,-84.53,-39.40
440,-68.23,-94.07,-42.40
441,-67.31,-94.21,-40.40
442,-62.03,-83.67,-40.40
443,-50.36,-69.11,-31.60
444,-66.82,-98.04,-35.60
445,-67.82,-96.83,-38.80
446,-63.63,-88.06,-39.20
447,-66.37,-87.94,-44.80
448,-68.19,-98.58,-37.80
449,-60.50,-79.01,-42.00
450,-69.87,-97.74,-42.00
451,-60.35,-85.89,-34.80
452,-62.91,-88.62,-37.20
453,-67.58,-91.56,-43.60
454,-58.64,-79.89,-37.40
455,-63.54,-86.68,-40.40
456,-65.03,-91.26,-38.80
457,-51.25,-68.30,-34.20
458,-57.02,-73.04,-41.00
459,-70.97,-92.94,-49.00
460,-57.58,-75.77,-39.40
461,-64.16,-81.72,-46.60
462,-62.51,-86.83,-38.20
463,-64.76,-92.32,-37.20
464,-66.16,-93.72,-38.60
465,-57.58,-74.15,-41.00
466,-62.17,-85.74,-38.60
467,-63.74,-86.49,-41.00
468,-53.89,-73.78,-34.00
469,-67.80,-94.40,-41.20
470,-59.69,-81.78,-37.60
471,-61.13,-84.66,-37.60
472,-66.12,-96.84,-35.40
473,-56.70,-74.80,-38.60
474,-71.23,-98.86,-43.60
475,-56.55,-73.11,-40.00
476,-62.75,-86.51,-39.00
477,-61.35,-86.50,-36.20
478,-62.65,-86.31,-39.00
479,-67.88,-97.95,-37.80
480,-67.98,-97.75,-38.20
481,-67.72,-98.04,-37.40
482,-59.81,-82.81,-36.80
483,-47.48,-61.16,-33.80
484,-58.47,-79.75,-37.20
485,-60.95,-88.31,-33.60
486,-62.51,-87.63,-37.40
487,-61.85,-85.51,-38.20
488,-61.43,-87.06,-35.80
489,-62.70,-86.40,-39.00
490,-67.11,-98.82,-35.40
491,-49.17,-61.73,-36.60
492,-56.28,-74.37,-38.20
493,-66.77,-92.14,-41.40
494,-64.97,-93.14,-36.80
495,-61.95,-83.90,-40.00
496,-54.59,-73.18,-36.00
497,-63.20,-89.39,-37.00
498,-67.06,-93.51,-40.60
499,-61.39,-82.78,-40.00
500,-64.50,-85.80,-43.20
501,-71.70,-98.99,-44.40
